faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Target
1,343.0,31,0.38776,3687.0,4545.0,9.2235,27.219,42.563,2746.5,75.03,120.38,0.34391,79.519,49.766,2672.5,25.254,49.134,3159.7,23.176,65.411,226.59,331.07,94.733,77.009,30.95,8.7855,28.082,6.7616,18.551,1.5834,31.133,13.616,26.767,1.4807,18.468,2.2386,4.8406,2.3324,0.01812,0.83045,0.095093,53.389,43.329,63.263,53.597,38.066,62.18,20.178,42.012,37.412,44.529,46.561,40.106,17.531,1
1,343.0,32,0.38694,3666.4,4507.8,9.4054,27.184,42.268,2752.2,76.164,120.4,0.34736,79.485,50.248,2677.8,23.729,50.433,3163.7,22.737,65.267,230.47,331.03,94.917,77.445,30.95,8.7855,28.082,6.7616,18.551,1.5834,31.133,13.616,26.767,1.4807,18.468,2.2386,4.8406,2.3324,0.01812,0.83045,0.095093,53.389,43.329,63.617,54.042,38.147,60.045,20.308,41.591,38.831,47.535,46.269,41.241,18.572,1
1,343.0,33,0.40268,3670.1,4579.3,9.1752,26.65,42.235,2763.5,76.026,120.4,0.31304,80.055,50.278,2690.2,24.592,50.632,3173.8,21.652,65.293,227.87,330.62,94.564,77.776,30.185,8.5375,28.799,6.8546,18.91,1.6364,30.461,13.674,27.474,1.4428,18.755,2.1996,4.6481,2.2632,0.01812,0.83045,0.095093,53.389,43.329,64.15,53.837,39.706,62.713,20.647,37.908,38.919,47.997,46.553,40.771,21.09,1
1,343.0,34,0.40153,3671.3,4516.9,9.278,27.334,42.753,2766.7,75.779,120.43,0.31352,79.903,51.892,2693.5,24.633,50.15,3182.3,22.769,65.371,228.97,329.56,94.71,77.2,30.185,8.5375,28.799,6.8546,18.91,1.6364,30.461,13.674,27.474,1.4428,18.755,2.1996,4.6481,2.2632,0.01812,0.83045,0.095093,53.389,43.329,64.129,54.584,39.818,61.88,20.283,37.85,43.668,46.88,46.498,41.064,18.472,1
1,343.0,35,0.49589,3695.6,4523.3,9.2801,26.304,42.719,2770.7,75.265,120.4,0.31654,79.726,49.993,2697.4,24.721,49.439,3185.6,24.318,65.357,229.01,329.15,94.62,77.316,29.692,8.7392,28.817,7.0565,18.746,1.6121,30.428,13.542,27.606,1.3462,18.309,2.1936,4.7017,2.1929,0.01812,0.83045,0.095093,53.389,43.329,62.965,53.633,48.405,60.285,19.917,38.753,38.078,45.236,46.543,40.585,14.791,1
1,343.0,36,0.49404,3666.7,4491.3,9.2402,26.663,42.097,2775.0,76.421,120.4,0.31856,79.611,48.551,2701.1,24.794,49.615,3190.5,23.522,65.302,230.32,329.81,94.63,77.044,29.692,8.7392,28.817,7.0565,18.746,1.6121,30.428,13.542,27.606,1.3462,18.309,2.1936,4.7017,2.1929,0.016567,0.84654,0.11568,53.85,43.759,63.463,54.016,48.587,59.87,20.098,38.507,33.835,45.643,46.235,41.218,16.706,1
1,343.0,37,0.56515,3624.3,4526.5,9.3829,26.775,42.273,2779.6,76.196,120.39,0.30203,79.379,49.356,2705.5,24.368,51.568,3195.1,22.636,65.251,227.59,329.27,94.88,76.866,29.373,8.6376,29.265,6.818,18.136,1.5865,29.563,13.645,27.556,1.2205,18.869,2.2322,4.6756,2.1694,0.016567,0.84654,0.11568,53.85,43.759,62.352,53.989,55.581,58.099,20.048,36.68,36.205,50.163,46.425,40.988,18.841,1
1,343.0,38,0.56794,3628.3,4504.9,9.1019,26.488,42.447,2783.8,75.345,120.37,0.30136,79.046,50.671,2709.9,26.109,49.144,3197.3,22.274,65.126,230.52,329.54,94.844,76.606,29.373,8.6376,29.265,6.818,18.136,1.5865,29.563,13.645,27.556,1.2205,18.869,2.2322,4.6756,2.1694,0.016567,0.84654,0.11568,53.85,43.759,62.283,54.248,55.307,59.216,20.252,36.762,40.076,44.553,46.12,39.906,19.756,1
1,343.0,39,0.62537,3672.4,4574.8,9.2686,26.971,42.301,2790.9,75.352,120.41,0.31183,78.963,47.747,2717.4,25.184,48.166,3205.2,22.036,64.958,228.12,330.06,94.812,77.437,29.287,8.6309,29.648,6.7892,18.688,1.6142,29.63,13.361,28.261,1.1505,18.469,2.189,4.6756,2.2297,0.016567,0.84654,0.11568,53.85,43.759,63.564,54.964,61.153,60.054,20.648,37.913,31.468,42.29,46.295,40.996,20.303,1
1,343.0,40,0.62337,3680.0,4590.5,9.1707,26.848,42.539,2796.1,76.342,120.4,0.31276,78.886,49.822,2722.0,25.035,49.057,3211.9,22.078,64.887,230.09,329.59,94.653,76.673,29.287,8.6309,29.648,6.7892,18.688,1.6142,29.63,13.361,28.261,1.1505,18.469,2.189,4.6756,2.2297,0.016567,0.84654,0.11568,53.85,43.759,63.434,54.776,61.351,57.865,20.309,37.799,37.575,44.353,46.084,40.488,20.275,1
1,343.0,41,0.65916,3662.0,4552.1,9.0889,26.529,42.566,2802.3,76.502,120.44,0.28203,78.912,49.943,2729.3,23.386,48.09,3216.9,23.796,64.821,232.02,330.55,94.619,77.162,29.405,8.6854,29.267,6.8983,18.767,1.6104,28.935,13.552,28.384,0.96445,18.829,2.1406,4.5301,2.1741,0.032478,0.87557,0.093044,53.244,42.98,64.07,53.942,65.321,57.703,20.781,33.468,37.931,42.115,46.294,42.003,16.181,1
1,343.0,42,0.66117,3695.6,4526.5,8.9523,27.19,42.211,2806.4,76.176,120.46,0.28014,78.9,48.761,2733.0,26.535,48.11,3221.1,22.998,64.847,231.07,330.33,94.447,76.91,29.405,8.6854,29.267,6.8983,18.767,1.6104,28.935,13.552,28.384,0.96445,18.829,2.1406,4.5301,2.1741,0.032478,0.87557,0.093044,53.244,42.98,63.492,54.248,65.123,59.443,21.089,33.699,34.453,42.159,46.523,41.767,18.098,1
1,343.0,43,0.68031,3648.1,4515.9,8.9646,26.614,42.482,2806.5,76.173,120.41,0.29957,78.594,50.688,2733.5,25.726,49.002,3220.1,22.991,64.835,231.96,330.39,94.538,76.208,29.599,8.7193,29.789,6.9466,18.437,1.6137,29.382,13.367,29.119,1.3868,18.677,2.169,4.5557,2.0668,0.032478,0.87557,0.093044,53.244,42.98,63.388,54.189,66.808,58.853,20.972,35.882,40.126,44.224,46.588,40.903,18.2,1
1,343.0,44,0.68188,3692.4,4567.4,9.0773,26.952,42.675,2806.7,76.646,120.41,0.30009,78.356,48.751,2733.7,22.915,50.545,3218.9,21.472,64.744,232.31,331.08,94.596,76.474,29.599,8.7193,29.789,6.9466,18.437,1.6137,29.382,13.367,29.119,1.3868,18.677,2.169,4.5557,2.0668,0.032478,0.87557,0.093044,53.244,42.98,62.626,53.572,66.654,58.567,21.503,35.819,34.425,47.796,46.706,41.248,21.831,1
1,343.0,45,0.68935,3649.6,4589.2,8.8911,26.881,42.207,2809.4,76.1,120.38,0.27823,78.191,50.132,2736.2,23.455,50.941,3220.2,22.003,64.677,234.16,331.65,94.741,76.259,29.612,8.5434,29.772,6.767,18.302,1.6192,29.409,13.467,29.477,1.264,18.475,2.1457,4.491,2.0518,0.032478,0.87557,0.093044,53.244,42.98,62.9,54.15,67.723,58.764,21.598,33.001,38.489,48.713,46.698,39.924,20.624,1
1,343.0,46,0.68953,3685.0,4563.9,8.9706,26.786,42.242,2810.9,76.154,120.42,0.27864,78.073,49.13,2738.4,25.208,50.954,3221.3,22.56,64.592,236.1,331.59,94.623,76.264,29.612,8.5434,29.772,6.767,18.302,1.6192,29.409,13.467,29.477,1.264,18.475,2.1457,4.491,2.0518,0.01967,0.88028,0.10916,54.537,43.607,62.292,54.453,67.706,57.135,21.64,32.951,35.539,48.741,47.468,41.221,19.345,1
1,343.0,47,0.71588,3664.8,4559.0,8.86,26.784,42.515,2813.1,75.791,120.39,0.28424,78.09,50.519,2740.5,23.297,49.391,3223.7,22.274,64.615,236.42,331.48,94.688,76.552,29.868,8.6297,30.004,6.9421,18.605,1.5768,28.945,13.353,29.462,1.1306,17.81,2.1638,4.3718,2.0813,0.01967,0.88028,0.10916,54.537,43.607,64.239,54.912,70.151,59.688,21.591,34.357,39.626,45.125,47.937,40.837,20.037,1
1,343.0,48,0.71504,3676.5,4587.4,8.7955,26.756,42.042,2815.8,77.594,120.42,0.28406,78.233,49.504,2743.5,23.701,50.553,3225.9,22.951,64.66,240.65,331.52,94.386,76.323,29.868,8.6297,30.004,6.9421,18.605,1.5768,28.945,13.353,29.462,1.1306,17.81,2.1638,4.3718,2.0813,0.01967,0.88028,0.10916,54.537,43.607,64.036,54.572,70.233,58.107,21.879,34.378,36.64,47.813,48.053,41.359,18.458,1
1,343.0,49,0.71638,3688.5,4569.1,8.7664,27.05,42.635,2812.9,77.476,120.38,0.2703,78.004,50.158,2739.5,24.084,50.369,3224.0,22.876,64.729,242.23,331.43,94.663,75.948,29.777,8.7141,29.8,6.7294,18.383,1.5915,28.815,13.288,29.058,1.4841,18.153,2.1202,4.4139,2.037,0.01967,0.88028,0.10916,54.537,43.607,62.32,54.103,70.245,58.408,21.839,32.39,38.566,47.389,48.403,40.655,18.702,1
1,343.0,50,0.71549,3637.7,4568.4,8.7898,26.593,42.369,2811.7,77.91,120.41,0.26872,77.896,50.311,2738.6,26.937,50.252,3221.0,22.93,64.751,241.53,331.64,94.71,76.03,29.777,8.7141,29.8,6.7294,18.383,1.5915,28.815,13.288,29.058,1.4841,18.153,2.1202,4.4139,2.037,0.01967,0.88028,0.10916,54.537,43.607,63.195,54.111,70.332,58.709,21.596,32.583,39.016,47.118,48.956,40.738,18.611,1
1,343.0,51,0.74689,3702.0,4525.1,8.7154,26.488,41.846,2811.6,76.902,120.39,0.26153,77.882,50.745,2739.5,23.409,48.344,3220.3,23.022,64.786,244.42,331.47,94.63,75.945,29.633,8.6193,29.91,6.8519,18.744,1.5637,29.018,13.203,29.38,1.3159,18.682,2.1113,4.3858,2.0249,0.013508,0.91705,0.10807,53.463,42.667,63.997,55.221,73.813,55.092,21.828,30.967,40.293,42.702,49.384,40.59,18.439,1
1,343.0,52,0.74967,3718.8,4571.9,8.663,26.802,42.448,2807.5,76.982,120.4,0.26017,77.65,48.403,2733.6,25.853,48.93,3218.9,22.479,64.801,246.2,330.55,94.766,75.463,29.633,8.6193,29.91,6.8519,18.744,1.5637,29.018,13.203,29.38,1.3159,18.682,2.1113,4.3858,2.0249,0.013508,0.91705,0.10807,53.463,42.667,63.708,54.66,73.541,55.652,21.18,31.134,33.4,44.058,49.798,41.229,19.812,1
1,343.0,53,0.78834,3653.9,4550.5,8.6764,26.991,42.237,2805.4,78.182,120.4,0.2492,77.576,50.184,2732.2,24.703,50.623,3216.6,23.639,64.808,247.94,330.95,94.623,75.605,29.822,8.5917,30.01,6.8604,18.597,1.6023,28.929,13.425,29.643,1.1579,18.466,2.1079,4.3981,2.1349,0.013508,0.91705,0.10807,53.463,42.667,63.837,54.068,77.56,54.977,21.416,29.359,38.642,47.976,50.218,40.85,17.11,1
1,343.0,54,0.78872,3692.7,4559.5,8.6216,26.793,42.231,2805.4,77.8,120.39,0.24357,77.74,50.273,2732.7,24.308,50.919,3214.3,23.257,64.88,248.36,330.98,94.858,75.773,29.822,8.5917,30.01,6.8604,18.597,1.6023,28.929,13.425,29.643,1.1579,18.466,2.1079,4.3981,2.1349,0.013508,0.91705,0.10807,53.463,42.667,63.168,53.96,77.523,54.754,21.803,30.047,38.903,48.661,50.75,40.656,18.039,1
1,343.0,55,0.79493,3652.6,4528.7,8.619,26.99,41.994,2802.1,77.697,120.39,0.26538,77.829,49.742,2729.5,25.648,48.693,3212.9,22.921,64.989,249.76,330.61,94.696,76.046,29.814,8.6396,30.074,6.8915,18.426,1.5624,28.504,13.273,29.834,1.1709,17.942,2.1747,4.3453,2.1321,0.013508,0.91705,0.10807,53.463,42.667,63.809,54.707,78.331,56.38,21.487,32.578,37.341,43.51,51.191,40.902,18.843,1
1,343.0,56,0.79247,3683.3,4559.5,8.7221,26.851,42.275,2800.0,77.155,120.4,0.26607,77.935,48.351,2727.3,23.888,51.725,3210.4,22.92,65.143,254.18,329.98,94.877,76.042,29.814,8.6396,30.074,6.8915,18.426,1.5624,28.504,13.273,29.834,1.1709,17.942,2.1747,4.3453,2.1321,0.018752,0.94164,0.10641,53.927,43.347,63.281,54.338,78.573,57.122,21.396,32.494,33.246,50.526,52.409,40.424,18.876,1
1,343.0,57,0.82082,3662.0,4542.3,8.5044,26.804,42.182,2795.5,79.234,120.38,0.24506,77.846,52.125,2722.8,24.64,47.459,3207.1,22.397,65.299,256.82,329.36,94.721,75.464,29.231,8.5664,29.709,6.8865,18.972,1.5873,28.549,13.302,29.481,1.3761,18.145,2.1305,4.4357,2.0682,0.018752,0.94164,0.10641,53.927,43.347,63.379,55.007,80.786,55.366,21.166,30.267,44.353,40.653,53.181,40.132,20.192,1
1,343.0,58,0.81943,3627.8,4574.4,8.3107,26.876,42.193,2789.7,78.749,120.38,0.24903,77.599,52.368,2716.2,24.254,51.917,3200.9,21.905,65.407,260.21,329.44,94.99,75.443,29.231,8.5664,29.709,6.8865,18.972,1.5873,28.549,13.302,29.481,1.3761,18.145,2.1305,4.4357,2.0682,0.018752,0.94164,0.10641,53.927,43.347,63.968,54.622,80.923,57.952,20.963,29.783,45.068,50.971,53.886,39.664,21.424,1
1,343.0,59,0.90715,3709.1,4531.0,8.3845,26.494,42.095,2788.4,77.597,120.37,0.24933,77.699,50.146,2715.5,25.74,49.02,3197.2,22.789,65.482,265.59,329.71,94.798,75.362,29.851,8.7105,29.944,7.0252,19.085,1.547,29.03,13.467,29.357,1.3566,18.624,2.149,4.4178,1.9721,0.018752,0.94164,0.10641,53.927,43.347,62.606,53.818,88.845,56.269,20.93,29.732,38.53,44.265,54.411,40.088,19.377,1
1,343.0,60,0.90565,3696.7,4565.2,8.3767,26.666,42.075,2786.8,77.136,120.42,0.2486,77.88,50.6,2713.3,25.841,51.669,3195.4,22.755,65.622,267.32,329.08,95.017,75.713,29.851,8.7105,29.944,7.0252,19.085,1.547,29.03,13.467,29.357,1.3566,18.624,2.149,4.4178,1.9721,0.018752,0.94164,0.10641,53.927,43.347,62.82,53.408,88.992,54.654,21.172,29.821,39.865,50.396,55.256,40.349,19.468,1
1,343.0,61,0.87342,3610.4,4503.8,8.4751,27.067,42.349,2783.5,79.108,120.39,0.26541,78.149,48.737,2710.1,24.417,50.803,3191.6,23.243,65.836,270.38,329.09,94.836,75.719,29.412,8.5521,28.937,6.9714,18.605,1.5923,29.436,13.4,29.043,1.2545,18.768,2.0932,4.3118,1.9549,0.0047678,0.9757,0.098147,55.144,43.978,63.018,53.82,85.79,54.081,21.233,31.537,34.383,48.393,56.766,40.185,18.322,1
1,343.0,62,0.87449,3632.0,4519.5,8.3489,26.991,42.286,2776.5,78.017,120.38,0.26143,78.027,49.41,2702.4,24.318,51.122,3186.8,23.054,66.055,272.44,328.48,95.183,75.495,29.412,8.5521,28.937,6.9714,18.605,1.5923,29.436,13.4,29.043,1.2545,18.768,2.0932,4.3118,1.9549,0.0047678,0.9757,0.098147,55.144,43.978,62.646,53.634,85.684,55.128,20.961,32.023,36.365,49.132,57.905,39.987,18.815,1
1,343.0,63,0.93917,3641.9,4545.3,8.4429,26.884,41.95,2773.1,77.79,120.36,0.25655,78.099,49.798,2699.3,24.796,48.964,3183.4,22.42,66.25,277.06,327.96,94.964,75.547,29.658,8.6821,29.382,6.9134,18.636,1.5606,29.057,13.627,28.189,1.3304,19.228,2.1355,4.4499,2.152,0.0047678,0.9757,0.098147,55.144,43.978,62.839,54.491,92.903,54.424,20.775,30.247,37.505,44.137,58.81,39.917,20.35,1
1,343.0,64,0.94159,3644.6,4569.8,8.2598,26.797,42.066,2767.8,78.622,120.38,0.2517,77.952,50.753,2693.6,23.81,50.679,3178.8,22.773,66.414,283.51,328.18,94.974,75.415,29.658,8.6821,29.382,6.9134,18.636,1.5606,29.057,13.627,28.189,1.3304,19.228,2.1355,4.4499,2.152,0.0047678,0.9757,0.098147,55.144,43.978,62.792,54.198,92.666,53.985,20.451,30.839,40.315,48.104,59.548,40.481,19.578,1
1,343.0,65,0.94518,3654.5,4520.3,8.2146,26.836,42.221,2761.9,77.809,120.39,0.27334,77.98,50.148,2688.7,25.562,51.319,3173.2,22.524,66.527,285.61,328.54,95.137,75.473,29.859,8.8167,28.861,7.0195,19.46,1.5993,28.695,13.584,28.829,1.2516,18.672,2.1444,4.3706,2.0097,0.0047678,0.9757,0.098147,55.144,43.978,63.074,54.74,93.058,55.643,20.414,33.812,38.535,49.587,60.669,39.694,20.206,1
1,343.0,66,0.94715,3689.5,4531.3,8.2493,26.596,42.199,2760.4,77.848,120.42,0.27521,78.34,49.641,2686.8,24.719,49.778,3170.0,22.278,66.713,291.9,327.68,94.974,76.175,29.859,8.8167,28.861,7.0195,19.46,1.5993,28.695,13.584,28.829,1.2516,18.672,2.1444,4.3706,2.0097,0.0013651,1.0175,0.11477,53.449,42.851,62.471,54.608,92.863,55.211,20.221,33.583,37.045,46.02,62.498,40.793,20.749,1
1,343.0,67,0.94849,3632.3,4490.6,8.2424,27.131,41.922,2754.2,77.381,120.38,0.26867,78.514,49.602,2680.2,26.317,50.137,3165.6,22.669,67.036,295.6,327.53,95.022,75.728,29.834,8.7996,28.235,7.1079,19.244,1.6043,28.91,13.496,28.054,1.2236,19.126,2.166,4.3658,2.0695,0.0013651,1.0175,0.11477,53.449,42.851,62.446,53.029,93.882,54.035,20.106,32.915,36.929,46.851,63.925,38.777,19.856,1
1,343.0,68,0.95103,3640.6,4479.9,8.1055,26.503,41.908,2748.3,77.442,120.42,0.27151,78.687,50.006,2674.8,24.326,49.569,3158.6,22.437,67.332,298.1,327.15,95.1,75.961,29.834,8.7996,28.235,7.1079,19.244,1.6043,28.91,13.496,28.054,1.2236,19.126,2.166,4.3658,2.0695,0.0013651,1.0175,0.11477,53.449,42.851,62.302,53.158,93.631,53.229,19.957,32.569,38.118,45.536,65.448,40.148,20.403,1
1,343.0,69,0.97673,3616.1,4516.9,8.241,26.762,42.056,2743.0,77.966,120.38,0.25928,78.69,50.722,2668.5,25.964,50.136,3153.1,23.256,67.612,302.9,326.87,95.181,75.655,29.531,8.8579,28.472,6.9532,19.881,1.5789,29.42,13.705,27.637,1.467,19.001,2.1314,4.4049,2.0991,0.0013651,1.0175,0.11477,53.449,42.851,61.777,53.146,96.358,52.102,19.946,31.299,40.224,46.848,66.754,39.226,18.492,1
1,343.0,70,0.97768,3594.0,4476.8,8.1297,27.161,41.787,2738.6,77.688,120.39,0.25842,78.734,49.951,2664.5,24.613,51.459,3147.2,22.873,67.848,307.08,326.8,95.287,75.426,29.531,8.8579,28.472,6.9532,19.881,1.5789,29.42,13.705,27.637,1.467,19.001,2.1314,4.4049,2.0991,0.0013651,1.0175,0.11477,53.449,42.851,62.158,53.627,96.265,52.348,20.231,31.404,37.955,49.911,68.109,40.305,19.442,1
1,343.0,71,0.99698,3638.5,4433.8,8.2271,26.908,41.982,2730.2,77.487,120.4,0.27944,78.516,48.979,2655.7,25.241,50.318,3139.5,22.694,68.066,313.3,326.83,95.272,75.193,29.732,8.7767,27.999,6.9527,19.554,1.6155,29.78,13.482,26.879,1.44,19.216,2.1907,4.5142,2.1192,0.026682,1.0288,0.11102,53.911,43.883,62.608,52.446,97.864,52.203,19.8,34.101,35.094,47.269,70.634,39.698,19.923,1
1,343.0,72,0.99717,3609.1,4427.6,8.1561,27.003,42.172,2724.7,77.015,120.4,0.27986,78.625,50.421,2650.8,26.217,51.408,3134.6,23.261,68.236,320.89,326.81,95.258,75.656,29.732,8.7767,27.999,6.9527,19.554,1.6155,29.78,13.482,26.879,1.44,19.216,2.1907,4.5142,2.1192,0.026682,1.0288,0.11102,53.911,43.883,63.115,52.52,97.846,53.949,19.776,34.051,39.339,49.793,72.263,39.246,18.577,1
1,343.0,73,1.0026,3665.6,4438.9,8.296,27.215,41.909,2723.7,77.02,120.4,0.2548,78.984,51.53,2649.2,25.725,52.119,3131.0,21.822,68.512,325.15,327.26,95.281,75.794,30.268,8.966,27.452,7.0272,19.3,1.6213,29.786,13.976,26.341,1.5383,19.862,2.1788,4.64,2.1503,0.026682,1.0288,0.11102,53.911,43.883,62.08,53.029,98.725,54.006,20.197,30.807,42.603,51.437,74.173,40.149,21.991,1
1,343.0,74,1.0042,3661.7,4413.5,8.1008,26.675,41.761,2717.3,76.707,120.41,0.25518,79.192,48.731,2643.1,25.889,51.097,3128.1,22.103,68.865,327.19,326.07,95.081,75.762,30.268,8.966,27.452,7.0272,19.3,1.6213,29.786,13.976,26.341,1.5383,19.862,2.1788,4.64,2.1503,0.026682,1.0288,0.11102,53.911,43.883,62.147,53.333,98.573,54.619,19.394,30.761,34.367,49.074,76.267,40.288,21.322,1
1,343.0,75,0.97287,3612.9,4483.0,8.1536,27.023,42.104,2709.9,77.391,120.4,0.30725,79.152,48.177,2634.9,25.677,51.288,3121.5,23.563,69.124,334.23,325.66,95.302,76.053,30.202,8.8929,27.914,7.1128,19.935,1.6432,29.47,13.96,26.662,1.2337,20.097,2.1594,4.5062,2.0898,0.026682,1.0288,0.11102,53.911,43.883,62.23,53.015,95.931,54.17,19.282,37.494,32.735,49.515,77.904,39.917,17.851,1
1,343.0,76,0.97309,3624.3,4470.1,8.2147,26.899,41.93,2704.3,77.194,120.39,0.30473,79.272,50.46,2630.1,25.536,50.979,3114.2,23.215,69.448,341.42,326.15,95.201,75.607,30.202,8.8929,27.914,7.1128,19.935,1.6432,29.47,13.96,26.662,1.2337,20.097,2.1594,4.5062,2.0898,0.012895,1.018,0.10808,54.516,44.294,62.034,53.17,95.909,52.685,19.622,37.801,39.454,48.799,80.138,39.396,18.713,1
